precio,nombre,calificacion,ciudad,check_in,check_out
COP 327.600,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,1
9,1
Fantástico
99 comentarios",Mariquita,2024-12-10,2024-12-11
COP 1.026.680,Domus Glamping Guatapé,"Puntuación: 9,4
9,4
Fantástico
87 comentarios","EL PEÑOL, GUATAPÉ",2024-12-10,2024-12-11
COP 289.800,1714 Hotel Boutique Guatapé,"Puntuación: 9,2
9,2
Fantástico
162 comentarios","EL PEÑOL, GUATAPÉ",2024-12-10,2024-12-11
COP 193.200,Hotel Spa Bliss Guatape,"Puntuación: 9,7
9,7
Excepcional
7 comentarios",GUATAPÉ,2024-12-10,2024-12-11
COP 499.200,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,6
8,6
Fabuloso
20 comentarios","MARINILLA, ANTIOQUIA",2024-12-10,2024-12-11
COP 120.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 7,9
7,9
Bien
753 comentarios",GUATAPÉ,2024-12-10,2024-12-11
COP 319.000,"Marina Navegar- El peñol, Guatape","Puntuación: 8,4
8,4
Muy bien
15 comentarios","El peñol, Guatapé",2024-12-10,2024-12-11
COP 168.000,Hotel Omaga El peñol- Guatape,"Puntuación: 10
10
Excepcional
1 comentario","EL PEÑOL, GUATAPÉ",2024-12-10,2024-12-11
COP 134.400,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,5
7,5
Bien
13 comentarios",GUATAPÉ,2024-12-10,2024-12-11
COP 728.000,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,9
8,9
Fabuloso
64 comentarios","EL PEÑOL, GUATAPÉ",2024-12-10,2024-12-11
COP 540.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
753 comentarios","EL PEÑOL, GUATAPÉ",2024-12-10,2024-12-11
COP 1.200.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 7,9
7,9
Bien
753 comentarios","EL PEÑOL, GUATAPÉ",2024-12-10,2024-12-11
COP 600.000,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
753 comentarios","EL PEÑOL, GUATAPÉ",2024-12-10,2024-12-11
COP 351.000,Finca La Marina El peñol Guatape,"Puntuación: 7,9
7,9
Bien
753 comentarios","EL PEÑOL, GUATAPÉ",2024-12-10,2024-12-11
COP 285.000,Hotel y Termales Castillo Del Lago Guatape,"Puntuación: 7,9
7,9
Bien
753 comentarios","EL PEÑOL, GUATAPÉ",2024-12-10,2024-12-11
COP 327.600,Hotel Brisas La Gaviota Mariquit-Tolima,"Puntuación: 9,1
9,1
Fantástico
99 comentarios",Mariquita,2024-12-11,2024-12-12
COP 821.340,Domus Glamping Guatapé,"Puntuación: 9,4
9,4
Fantástico
87 comentarios","EL PEÑOL, GUATAPÉ",2024-12-11,2024-12-12
COP 289.800,1714 Hotel Boutique Guatapé,"Puntuación: 9,2
9,2
Fantástico
162 comentarios","EL PEÑOL, GUATAPÉ",2024-12-11,2024-12-12
COP 154.560,Hotel Spa Bliss Guatape,"Puntuación: 9,7
9,7
Excepcional
7 comentarios",GUATAPÉ,2024-12-11,2024-12-12
COP 499.200,Aeropuerto Rionegro- Medellin Hotel Mansión Sant Serrant,"Puntuación: 8,6
8,6
Fabuloso
20 comentarios","MARINILLA, ANTIOQUIA",2024-12-11,2024-12-12
COP 96.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 7,9
7,9
Bien
753 comentarios",GUATAPÉ,2024-12-11,2024-12-12
COP 255.200,"Marina Navegar- El peñol, Guatape","Puntuación: 8,4
8,4
Muy bien
15 comentarios","El peñol, Guatapé",2024-12-11,2024-12-12
COP 134.400,Hotel Omaga El peñol- Guatape,"Puntuación: 10
10
Excepcional
1 comentario","EL PEÑOL, GUATAPÉ",2024-12-11,2024-12-12
COP 134.400,Hotel Stay Guatape a dos cuadras del parque,"Puntuación: 7,5
7,5
Bien
13 comentarios",GUATAPÉ,2024-12-11,2024-12-12
COP 582.400,"San Simon Glamping,El peñol,Guatape","Puntuación: 8,9
8,9
Fabuloso
64 comentarios","EL PEÑOL, GUATAPÉ",2024-12-11,2024-12-12
COP 540.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
753 comentarios","EL PEÑOL, GUATAPÉ",2024-12-11,2024-12-12
COP 1.200.000,Finca con jacuzzi a 15min de Guatape,"Puntuación: 7,9
7,9
Bien
753 comentarios","EL PEÑOL, GUATAPÉ",2024-12-11,2024-12-12
COP 600.000,"Finca Parcelación Alemania 1 El peñol, Guatapé","Puntuación: 7,9
7,9
Bien
753 comentarios","EL PEÑOL, GUATAPÉ",2024-12-11,2024-12-12
COP 280.800,Finca La Marina El peñol Guatape,"Puntuación: 7,9
7,9
Bien
753 comentarios","EL PEÑOL, GUATAPÉ",2024-12-11,2024-12-12
COP 285.000,Hotel y Termales Castillo Del Lago Guatape,"Puntuación: 7,9
7,9
Bien
753 comentarios","EL PEÑOL, GUATAPÉ",2024-12-11,2024-12-12
