precio,nombre,calificacion,competidor,ciudad,check_in,check_out
COP 170.000,Bramasole Hotel Boutique - El Peñol,"Puntuación: 9,0
9,0
Fantástico
12 comentarios reales",Arvum Hotel Boutique,El peñol,2025-02-03,2025-02-04
COP 100.000,Eden Hotel,"Puntuación: 8,5
8,5
Muy bien
34 comentarios reales",Eden Hotel ,El peñol,2025-02-03,2025-02-04
COP 590.000,Hotel La Magdalena Adult Only,"Puntuación: 9,3
9,3
Fantástico
210 comentarios reales",Hotel La Magdalena Adult Only,"EL PEÑOL, GUATAPÉ",2025-02-03,2025-02-04
COP 350.000,Hobbit Hotel El peñol Guatapé,"Puntuación: 10
10
Excepcional
5 comentarios reales",Hotel Mansión Guatapé,"EL PEÑOL, GUATAPÉ",2025-02-03,2025-02-04
COP 522.520,Finca Santa Maria de las Cañadas,"Puntuación: 8,9
8,9
Fabuloso
13 comentarios reales",Santa Maria de las Aguas  peñol,El peñol,2025-02-03,2025-02-04
COP 1.275.000,Tau House,"Puntuación: 9,4
9,4
Fantástico
359 comentarios reales",Tau House,"EL PEÑOL, GUATAPÉ",2025-02-03,2025-02-04
COP 628.940,Vivanti Resort,"Puntuación: 9,0
9,0
Fantástico
111 comentarios reales",Vivanti Resort,GUATAPÉ,2025-02-03,2025-02-04
COP 1.005.480,Atma Eco Village,"Puntuación: 8,7
8,7
Fabuloso
108 comentarios reales",Atma Eco Village,"EL PEÑOL, GUATAPÉ",2025-02-03,2025-02-04
COP 761.400,Bethel Lozana Guatape,"Puntuación: 8,5
8,5
Muy bien
67 comentarios reales",Bethel Lozana Guatape,"EL PEÑOL, GUATAPÉ",2025-02-03,2025-02-04
COP 1.391.500,Bosko,"Puntuación: 9,0
9,0
Fantástico
255 comentarios reales",Bosko,GUATAPÉ,2025-02-03,2025-02-04
COP 575.580,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 9,8
9,8
Excepcional
67 comentarios reales",BubbleSky Glamping Guatapé,"EL PEÑOL, GUATAPÉ",2025-02-03,2025-02-04
COP 500.000,Glamping The Mountain,"Puntuación: 9,1
9,1
Fantástico
167 comentarios reales",Glamping The Mountain,"EL PEÑOL, GUATAPÉ",2025-02-03,2025-02-04
COP 775.500,Ibuku Hotel Guatapé - Chalets,"Puntuación: 8,5
8,5
Muy bien
59 comentarios reales",Ibuku Hotel Guatapé - Chalets,"EL PEÑOL, GUATAPÉ",2025-02-03,2025-02-04
COP 741.000,La Pausa Hotelbistro,"Puntuación: 9,6
9,6
Excepcional
361 comentarios reales",La Pausa Hotelbistro,"EL PEÑOL, GUATAPÉ",2025-02-03,2025-02-04
COP 651.000,Levit Glamping - Hotel Guatapé Peñol,"Puntuación: 9,2
9,2
Fantástico
72 comentarios reales",Levit Glamping - Hotel Guatapé Peñol,"EL PEÑOL, GUATAPÉ",2025-02-03,2025-02-04
COP 557.000,Luxé Cabañas,"Puntuación: 8,3
8,3
Muy bien
1.070 comentarios reales",Luxé Cabañas,"EL PEÑOL, GUATAPÉ",2025-02-03,2025-02-04
