precio,nombre,calificacion,competidor,ciudad,check_in,check_out
COP 245.320,Apartamento Cerro Dorado Sur,"Puntuación: 8,8
8,8
Fabuloso
29 comentarios",Cerro Dorado,Mariquita,2024-11-13,2024-11-14
COP 306.000,Hotel Boutique San Rafael,"Puntuación: 8,9
8,9
Fabuloso
34 comentarios",Hotel Boutique San Rafael,Mariquita,2024-11-13,2024-11-14
COP 560.000,Eco-Glamping Shalom,"Puntuación: 9,4
9,4
Fantástico
45 comentarios",Eco-Glamping Shalom,Mariquita,2024-11-13,2024-11-14
COP 120.000,Finca Hotel el Rancho de Monchito,"Puntuación: 8,2
8,2
Muy bien
5 comentarios",Finca Rancho de Luigi,Mariquita,2024-11-13,2024-11-14
COP 220.000,Hotel Refugio Bike,"Puntuación: 9,0
9,0
Fantástico
59 comentarios",Hotel Refugio Bike,Mariquita,2024-11-13,2024-11-14
COP 571.540,Casa Mariquita Hotel by Omeo,"Puntuación: 8,0
8,0
Muy bien
653 comentarios",Hotel Marqueta,Mariquita,2024-11-13,2024-11-14
COP 60.000,ApartaHotel El Balcón del Tolima,"Puntuación: 9,4
9,4
Fantástico
18 comentarios",Glamping Ciudad Perdida Falan,Mariquita,2024-11-13,2024-11-14
COP 388.240,Hotel Boutique Posada Las Trampas,"Puntuación: 9,3
9,3
Fantástico
411 comentarios",Hotel Boutique Posada Las Trampas,Mariquita,2024-11-13,2024-11-14
COP 470.940,Casa De Amigos Hotel Boutique,"Puntuación: 9,5
9,5
Excepcional
142 comentarios",Casa De Amigos Hotel Boutique,Mariquita,2024-11-13,2024-11-14
COP 292.500,Waka Hotel Rural,"Puntuación: 8,8
8,8
Fabuloso
260 comentarios",Waka Hotel Rural,Mariquita,2024-11-13,2024-11-14
COP 250.000,La Casona de Sara,"Puntuación: 9,5
9,5
Excepcional
101 comentarios",La Casona de Sara,Mariquita,2024-11-13,2024-11-14
COP 1.081.760,Cannua Lodge,"Puntuación: 9,3
9,3
Fantástico
92 comentarios",Cannua Lodge,GUATAPÉ,2024-11-13,2024-11-14
COP 308.000,Glamping con jacuzzi y cocina- El Peñol a 30 minutos de Guatapé,"Puntuación: 7,9
7,9
Bien
3.235 comentarios",Glamping con jacuzzi ,GUATAPÉ,2024-11-13,2024-11-14
COP 400.760,MG Hotels & Suites,"Puntuación: 8,1
8,1
Muy bien
323 comentarios",MG Hotels & Suites,GUATAPÉ,2024-11-13,2024-11-14
COP 720.000,Movich Hotel Las Lomas,"Puntuación: 8,6
8,6
Fabuloso
2.394 comentarios",Movich Hotel Las Lomas,GUATAPÉ,2024-11-13,2024-11-14
